Level,Degree,Term,courseName,courseID,courseType,creditHours,Grade
U,BS1,1,CourseA1,CA1,Major,3,75
U,BS1,1,CourseA6,CA6,Minor,4,76
U,BS1,1,CourseA2,CA2,Major,3,77
U,BS1,2,CourseA11,CA11,Major,3,78
U,BS1,2,CourseA16,CA16,Minor,4,60
U,BS1,2,CourseA12,CA12,Major,3,81
U,BS1,3,CourseA21,CA21,Major,3,82
U,BS1,3,CourseA26,CA26,Minor,4,81
M,M1,4,CourseA32,CA32,Major,3,50
M,M1,4,CourseA32,CA32,Major,3,84
M,M1,2,CourseA35,CA35,Minor,4,86
M,M1,1,CourseA34,CA34,Minor,3,84
M,M1,4,CourseA3,CA3,Minor,3,80
M,M1,2,CourseA4,CA4,Major,4,78
M,M1,1,CourseA25,CA25,Major,3,86
D,D1,4,CourseA36,CA36,Major,4,80
D,D1,4,CourseA38,CA38,Minor,3,75
D,D1,4,CourseA37,CA37,Minor,3,81
D,D1,4,CourseA39,CA39,Major,4,85
D,D1,4,CourseA33,CA33,Minor,3,80
D,D1,4,CourseA31,CA31,Major,4,85
